id,title,artist,genre,mood,energy,tempo,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,0.54,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,0.17,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,0.85,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,0.11,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,0.67,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,0.00,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,0.28,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,0.46,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,0.19,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,0.59,0.81,0.82,0.35
11,Concrete Jungle,Asphalt Kings,hip hop,moody,0.78,0.32,0.42,0.85,0.08
12,Velvet Sunday,Mara Soleil,r&b,romantic,0.52,0.26,0.73,0.70,0.45
13,Still Water,Ivory Strings,classical,peaceful,0.22,0.06,0.68,0.32,0.97
14,Drop Zone,Neon Surge,edm,intense,0.97,0.74,0.72,0.94,0.02
15,Autumn Porch,Cedar & Smoke,folk,sad,0.28,0.14,0.33,0.44,0.93
16,Iron Curtain,Broken Crown,metal,angry,0.96,1.00,0.22,0.58,0.04
17,Dusty Road Home,June Hollow,country,happy,0.60,0.41,0.82,0.67,0.72
18,River Deep,Sable & Gold,soul,melancholic,0.55,0.30,0.45,0.62,0.61
19,Island Drift,Coral Tide,reggae,chill,0.48,0.24,0.78,0.76,0.55
20,Pulse Wave,Grid System,electronic,energetic,0.88,0.63,0.66,0.91,0.06
